"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"EPM2AIP1",0.72323,12154,0.91664,14851
"EPN1",0.040236,2528,0.68791,9606
"EPN2",0.48377,10355,0.88432,13870
"EPN3",0.75196,12410,0.63631,8926
"EPO",0.32281,8050,0.13161,3750
"EPOR",0.39478,9079,0.80618,11760
"EPPIN",0.040025,2523,0.34321,5627
"EPPIN-WFDC6",0.43717,9664,0.55104,8076
"EPRS",1,17709,3.9402e-06,346
"EPS15",0.12366,4760,0.34314,5625
"EPS15L1",0.9824,15865,0.29556,5079
"EPS8",0.015533,1266,0.6407,8981
"EPS8L1",0.34755,8391,0.7773,11170
"EPS8L2",0.13274,4987,0.98885,17391
"EPS8L3",0.01057,971,0.98686,17311
"EPSTI1",0.16875,5879,0.32665,5409
"EPT1",0.89115,14222,0.032093,2771
"EPX",0.17728,6078,0.58851,8401
"EPYC",0.80641,13018,0.026133,2663
"EQTN",0.84463,13501,0.17809,4257
"ERAL1",0.99894,16672,0.001058,1646
"ERAP1",0.01793,1412,0.98818,17366
"ERAP2",0.58519,11093,0.97002,16655
"ERAS",0.0031872,493,0.34561,5660
"ERBB2",0.8299,13310,0.74208,10511
"ERBB2IP",0.093996,4019,0.1189,3604
"ERBB3",0.42129,9432,0.96665,16528
"ERBB4",0.029277,2039,0.79157,11470
"ERC1",0.29094,7639,0.45914,7227
"ERC2",0.069016,3372,0.93603,15486
"ERCC1",0.82377,13232,0.00030349,1283
"ERCC2",0.9987,16637,4.6058e-07,149
"ERCC3",0.99998,17513,1.5555e-05,580
"ERCC4",0.79975,12939,0.00016674,1134
"ERCC5",0.078084,3608,0.81133,11875
"ERCC6",0.6717,11728,0.94549,15808
"ERCC6-PGBD3",0.044779,2677,0.95522,16139
"ERCC6L",0.60509,11231,0.013251,2329
"ERCC6L2",0.41994,9419,0.83874,12601
"ERCC8",0.83787,13409,0.51084,7768
"EREG",0.91598,14615,0.81131,11874
"ERF",0.99762,16494,0.00010988,1026
"ERG",0.862,13772,0.90647,14549
"ERGIC1",0.4526,9890,0.57502,8273
"ERGIC2",0.92372,14742,0.010169,2236
"ERGIC3",0.78781,12798,0.79173,11473
"ERH",0.99999,17612,8.1866e-06,460
"ERI1",0.24545,7050,0.71692,10076
"ERI2",0.89794,14330,0.23543,4597
"ERI3",0.32877,8125,0.73057,10315
"ERICH1",0.35564,8525,0.81398,11940
"ERLEC1",0.18364,6214,0.88903,14018
"ERLIN1",0.0026047,433,0.9831,17134
"ERLIN2",0.081792,3702,0.46788,7345
"ERMAP",0.082302,3718,0.54928,8063
"ERMARD",0.17642,6063,0.91396,14769
"ERMN",0.018832,1467,0.98086,17051
"ERMP1",0.19798,6419,0.89551,14225
"ERN1",0.022998,1700,0.60295,8548
"ERN2",0.64921,11549,0.73319,10362
"ERO1L",0.0022689,396,0.95712,16196
"ERO1LB",0.03131,2150,0.69915,9789
"ERP27",0.52788,10724,0.85357,13032
"ERP29",0.11147,4443,0.82304,12172
"ERP44",0.85358,13631,0.37063,5983
"ERRFI1",0.82806,13280,0.20957,4429
"ERV3-1",0.029975,2078,0.47265,7419
"ERVFRD-1",0.083592,3748,0.86669,13391
"ERVV-1",0.65725,11619,0.34275,5619
"ERVV-2",0.023378,1715,0.97662,16899
"ERVW-1",0.91394,14584,0.086056,3263
"ESAM",0.29047,7632,0.81825,12042
"ESCO1",0.0070783,746,0.82771,12297
"ESCO2",0.92091,14696,0.27203,4860
"ESD",0.82757,13274,0.26468,4800
"ESF1",0.97647,15728,0.015282,2384
"ESM1",0.63427,11429,0.92714,15198
"ESPL1",1,17729,3.3154e-06,321
"ESPN",0.36894,8713,0.6066,8597
"ESPNL",0.074029,3509,0.94306,15723
"ESR1",0.090808,3935,0.62501,8798
"ESR2",0.16947,5898,0.88411,13863
"ESRP1",0.3795,8864,0.88097,13780
"ESRP2",0.060272,3129,0.81978,12082
"ESRRA",0.95317,15249,0.011066,2263
"ESRRB",0.015143,1236,0.98322,17142
"ESRRG",0.55749,10897,0.95347,16072
"ESX1",0.0005932,154,0.99941,17930
"ESYT1",0.17052,5920,0.9826,17112
"ESYT2",0.050211,2821,0.3582,5820
"ESYT3",0.099121,4147,0.63351,8893
"ETAA1",0.047909,2754,0.98409,17181
"ETF1",0.26366,7292,0.0023883,1892
"ETFA",0.078649,3622,0.62916,8847
"ETFB",0.48553,10376,0.93606,15488
"ETFDH",0.52785,10723,0.95152,16004
"ETHE1",0.062486,3198,0.58434,8366
"ETNK1",0.92903,14816,0.00043751,1383
"ETNK2",0.69259,11886,0.26584,4810
"ETNPPL",0.47578,10229,0.82143,12124
"ETS1",0.19197,6331,0.27901,4919
"ETS2",0.85275,13618,0.76437,10921
"ETV1",0.76094,12489,0.83334,12455
"ETV2",0.11156,4445,0.98529,17241
"ETV3",0.95807,15340,1.5198e-05,570
"ETV3L",0.7621,12501,0.74328,10527
"ETV4",0.835,13366,0.82796,12306
"ETV5",0.0099331,918,0.80724,11783
"ETV6",0.69562,11910,0.28062,4938
"ETV7",0.29943,7742,0.57451,8269
"EVA1A",0.29017,7629,0.7083,9935
"EVA1B",0.11346,4493,0.9607,16319
"EVA1C",0.010525,963,0.40884,6489
"EVC",0.3746,8800,0.89262,14134
"EVC2",0.012901,1107,0.92335,15073
"EVI2A",0.75647,12451,0.16459,4159
"EVI2B",0.47901,10276,0.19613,4346
"EVI5",0.0021991,388,0.28255,4956
"EVI5L",0.49092,10446,0.81273,11912
"EVL",0.097613,4108,0.67035,9341
"EVPL",0.089814,3913,0.92425,15101
"EVPLL",0.77177,12606,0.28127,4947
"EVX1",0.98417,15916,0.8038,11711
"EVX2",0.14153,5222,0.84742,12860
"EWSR1",0.99997,17375,3.4093e-05,750
"EXD1",0.14987,5452,0.83778,12576
"EXD2",0.04829,2764,0.93241,15368
"EXD3",0.10771,4350,0.54224,8005
"EXO1",0.20759,6563,0.54648,8040
"EXO5",0.015212,1240,0.94099,15658
"EXOC1",0.43042,9557,0.48678,7592
"EXOC2",0.84432,13492,0.027884,2698
"EXOC3",0.99913,16716,0.00044882,1397
"EXOC3L1",0.010616,974,0.53462,7943
